algorithm,input,size,median_ms,vs_random
Python built-in,Random,20000,2.9341074999999996,1.0
Python built-in,Sorted,20000,0.1331615,0.04538398814631025
Python built-in,Reverse,20000,0.17175449999999998,0.05853722128449622
Python built-in,Nearly sorted,20000,0.39876849999999997,0.1359079379334261
Python built-in,Many duplicates,20000,1.777634,0.6058516942545562
Python built-in,Skewed,20000,1.930755,0.6580382620609505
PowerSort ref,Random,20000,45.848704,1.0
PowerSort ref,Sorted,20000,1.492883,0.03256107304581608
PowerSort ref,Reverse,20000,1.572854,0.03430530991672087
PowerSort ref,Nearly sorted,20000,17.469882499999997,0.38103328940333836
PowerSort ref,Many duplicates,20000,48.118607,1.0495085531752435
PowerSort ref,Skewed,20000,45.1872835,0.9855738452279916
IntroSort ref,Random,20000,22.2943235,1.0
IntroSort ref,Sorted,20000,9.066137,0.40665674381193934
IntroSort ref,Reverse,20000,16.3436035,0.7330836255246768
IntroSort ref,Nearly sorted,20000,9.2307965,0.41404245793777955
IntroSort ref,Many duplicates,20000,14.274314,0.640266747721679
IntroSort ref,Skewed,20000,17.9079245,0.8032504103566991
PDQ-inspired ref,Random,20000,20.988644,1.0
PDQ-inspired ref,Sorted,20000,1.066598,0.05081786131586204
PDQ-inspired ref,Reverse,20000,30.4663635,1.4515641648884035
PDQ-inspired ref,Nearly sorted,20000,8.7390525,0.4163705144553407
PDQ-inspired ref,Many duplicates,20000,12.550842,0.5979825090177335
PDQ-inspired ref,Skewed,20000,17.5463885,0.8359943834389681
Linear model buckets,Random,20000,16.6150345,1.0
Linear model buckets,Sorted,20000,8.203472,0.4937378854073399
Linear model buckets,Reverse,20000,8.746699,0.526432791939132
Linear model buckets,Nearly sorted,20000,8.6700625,0.5218203128016375
Linear model buckets,Many duplicates,20000,10.7082905,0.6444940273822483
Linear model buckets,Skewed,20000,16.86314,1.0149325901189072
Signed LSD radix,Random,20000,23.1704195,1.0
Signed LSD radix,Sorted,20000,21.2971355,0.9191519169516977
Signed LSD radix,Reverse,20000,23.422109499999998,1.010862556890694
Signed LSD radix,Nearly sorted,20000,25.498275,1.1004666963409961
Signed LSD radix,Many duplicates,20000,23.2834305,1.0048773825609847
Signed LSD radix,Skewed,20000,23.8815195,1.030689992470788
